number,value,params_dropout_rate,params_lambda_offset,params_optimizer_weight_decay,user_attrs_success_rate
0,43.91,0.23777055018901622,6.260826292548964,0.034864922828647664,0.0
1,,0.29683443286536143,9.432931212505089,0.012802457799832077,
2,42.511,0.008272659760053624,13.554504858019838,0.09561567094648334,0.0
3,32.792,0.2336374519529235,11.242473323479002,0.061287442880937626,10.0
4,33.822,0.1923051608756471,6.547215107043716,0.06411631707869642,10.0
5,63.779,0.36019698577029163,11.91113602573948,0.03443678167137333,0.0
6,19.633,0.10743806645237255,10.917917049491683,0.10514851517035478,0.0
7,46.026,0.15593648174442523,14.49128760144375,0.08349367943474437,0.0
8,38.506,0.09657622715853842,10.682708797687553,0.015342087871281416,0.0
9,45.317,0.1609484965010642,12.071797643802624,0.039949549583064146,0.0
10,43.547,0.036570933401832574,14.236265767488478,0.1370007848721546,0.0
